"","X","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"1",0,0.542,0.659,8,-7.289,1,0.0389,0.00279,0,0.105,0.109,120.122,"audio_features","2gpWyfu7eZ01zzncHpxOtA","spotify:track:2gpWyfu7eZ01zzncHpxOtA","https://api.spotify.com/v1/tracks/2gpWyfu7eZ01zzncHpxOtA","https://api.spotify.com/v1/audio-analysis/2gpWyfu7eZ01zzncHpxOtA",234000,4
"2",1,0.727,0.681,5,-7.114,0,0.0265,0.00214,0.000307,0.0861,0.448,123.028,"audio_features","6OufwUcCqo81guU2jAlDVP","spotify:track:6OufwUcCqo81guU2jAlDVP","https://api.spotify.com/v1/tracks/6OufwUcCqo81guU2jAlDVP","https://api.spotify.com/v1/audio-analysis/6OufwUcCqo81guU2jAlDVP",241970,4
"3",2,0.613,0.783,1,-6.736,1,0.138,0.0244,0,0.434,0.379,117.952,"audio_features","0h5ddpn03JPxD4x4dMf8i0","spotify:track:0h5ddpn03JPxD4x4dMf8i0","https://api.spotify.com/v1/tracks/0h5ddpn03JPxD4x4dMf8i0","https://api.spotify.com/v1/audio-analysis/0h5ddpn03JPxD4x4dMf8i0",138308,4
"4",3,0.848,0.821,2,-5.408,0,0.0527,0.0169,0.000403,0.0962,0.249,125.051,"audio_features","6GomT970rCOkKAyyrwJeZi","spotify:track:6GomT970rCOkKAyyrwJeZi","https://api.spotify.com/v1/tracks/6GomT970rCOkKAyyrwJeZi","https://api.spotify.com/v1/audio-analysis/6GomT970rCOkKAyyrwJeZi",157445,4
"5",4,0.754,0.763,7,-4.627,0,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953,"audio_features","18asYwWugKjjsihZ0YvRxO","spotify:track:18asYwWugKjjsihZ0YvRxO","https://api.spotify.com/v1/tracks/18asYwWugKjjsihZ0YvRxO","https://api.spotify.com/v1/audio-analysis/18asYwWugKjjsihZ0YvRxO",164819,4
"6",5,0.76,0.817,9,-6.022,1,0.109,0.0109,0,0.157,0.388,124.076,"audio_features","1S5j9eSU4RQ2ztXYH5ncNr","spotify:track:1S5j9eSU4RQ2ztXYH5ncNr","https://api.spotify.com/v1/tracks/1S5j9eSU4RQ2ztXYH5ncNr","https://api.spotify.com/v1/audio-analysis/1S5j9eSU4RQ2ztXYH5ncNr",149032,4
"7",6,0.793,0.886,10,-5.071,0,0.0445,0.000755,0.878,0.296,0.285,124.04,"audio_features","0B3H6se7MYo3D7BmzfvdVN","spotify:track:0B3H6se7MYo3D7BmzfvdVN","https://api.spotify.com/v1/tracks/0B3H6se7MYo3D7BmzfvdVN","https://api.spotify.com/v1/audio-analysis/0B3H6se7MYo3D7BmzfvdVN",158725,4
"8",7,0.593,0.852,5,-3.609,0,0.119,0.292,0.000162,0.141,0.397,125.928,"audio_features","0b02ZHphmQGm0lRtHyDDTH","spotify:track:0b02ZHphmQGm0lRtHyDDTH","https://api.spotify.com/v1/tracks/0b02ZHphmQGm0lRtHyDDTH","https://api.spotify.com/v1/audio-analysis/0b02ZHphmQGm0lRtHyDDTH",179346,4
"9",8,0.854,0.806,11,-8.262,0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,"audio_features","20on25jryn53hWghthWWW3","spotify:track:20on25jryn53hWghthWWW3","https://api.spotify.com/v1/tracks/20on25jryn53hWghthWWW3","https://api.spotify.com/v1/audio-analysis/20on25jryn53hWghthWWW3",157890,4
"10",9,0.762,0.804,9,-4.415,1,0.0318,0.0189,4.3e-06,0.298,0.747,123.047,"audio_features","1BaSIyNtCvrBDe6fMYK1UP","spotify:track:1BaSIyNtCvrBDe6fMYK1UP","https://api.spotify.com/v1/tracks/1BaSIyNtCvrBDe6fMYK1UP","https://api.spotify.com/v1/audio-analysis/1BaSIyNtCvrBDe6fMYK1UP",168963,4
