"","X","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"1",0,0.785,0.861,2,-5.633,0,0.0443,0.425,0,0.0587,0.966,94.989,"audio_features","5DrsyiBfSuIHS015buu06S","spotify:track:5DrsyiBfSuIHS015buu06S","https://api.spotify.com/v1/tracks/5DrsyiBfSuIHS015buu06S","https://api.spotify.com/v1/audio-analysis/5DrsyiBfSuIHS015buu06S",171880,4
"2",1,0.738,0.847,2,-4.408,1,0.0812,0.00927,0,0.325,0.826,111.962,"audio_features","1m7CrLaLdBBVIHIdCOwzYT","spotify:track:1m7CrLaLdBBVIHIdCOwzYT","https://api.spotify.com/v1/tracks/1m7CrLaLdBBVIHIdCOwzYT","https://api.spotify.com/v1/audio-analysis/1m7CrLaLdBBVIHIdCOwzYT",187507,4
"3",2,0.654,0.682,9,-6.539,0,0.031,0.156,0,0.0713,0.967,136.437,"audio_features","5qO03VRi0VQ3TVVGSE0QwJ","spotify:track:5qO03VRi0VQ3TVVGSE0QwJ","https://api.spotify.com/v1/tracks/5qO03VRi0VQ3TVVGSE0QwJ","https://api.spotify.com/v1/audio-analysis/5qO03VRi0VQ3TVVGSE0QwJ",209006,4
"4",3,0.77,0.898,7,-3.678,1,0.0344,0.308,0,0.0673,0.837,102.027,"audio_features","0mErnrwJUNEMq6X5bu2I0u","spotify:track:0mErnrwJUNEMq6X5bu2I0u","https://api.spotify.com/v1/tracks/0mErnrwJUNEMq6X5bu2I0u","https://api.spotify.com/v1/audio-analysis/0mErnrwJUNEMq6X5bu2I0u",208051,4
"5",4,0.771,0.589,9,-6.261,1,0.0278,0.118,0,0.168,0.932,105.025,"audio_features","41BuYNd5IMSmDV7m6aNb8J","spotify:track:41BuYNd5IMSmDV7m6aNb8J","https://api.spotify.com/v1/tracks/41BuYNd5IMSmDV7m6aNb8J","https://api.spotify.com/v1/audio-analysis/41BuYNd5IMSmDV7m6aNb8J",181255,4
"6",5,0.738,0.803,6,-4.898,0,0.0421,0.303,0,0.0742,0.902,104.966,"audio_features","0WBpK4TdYkkRtpYaGixO2x","spotify:track:0WBpK4TdYkkRtpYaGixO2x","https://api.spotify.com/v1/tracks/0WBpK4TdYkkRtpYaGixO2x","https://api.spotify.com/v1/audio-analysis/0WBpK4TdYkkRtpYaGixO2x",248680,4
"7",6,0.525,0.816,1,-4.696,1,0.0687,0.238,0,0.193,0.784,105.204,"audio_features","1AUb7MTJRGDrkjRjrZdpRO","spotify:track:1AUb7MTJRGDrkjRjrZdpRO","https://api.spotify.com/v1/tracks/1AUb7MTJRGDrkjRjrZdpRO","https://api.spotify.com/v1/audio-analysis/1AUb7MTJRGDrkjRjrZdpRO",312420,4
"8",7,0.461,0.879,0,-6.95,1,0.0722,0.108,3.77e-05,0.362,0.635,135.547,"audio_features","3CcZXYLICL7CEV0jcZRd0V","spotify:track:3CcZXYLICL7CEV0jcZRd0V","https://api.spotify.com/v1/tracks/3CcZXYLICL7CEV0jcZRd0V","https://api.spotify.com/v1/audio-analysis/3CcZXYLICL7CEV0jcZRd0V",609622,4
"9",8,0.716,0.827,3,-5.693,0,0.0509,0.393,0,0.129,0.962,103.235,"audio_features","6XMY9qZM7HXXu0PVqnv7y9","spotify:track:6XMY9qZM7HXXu0PVqnv7y9","https://api.spotify.com/v1/tracks/6XMY9qZM7HXXu0PVqnv7y9","https://api.spotify.com/v1/audio-analysis/6XMY9qZM7HXXu0PVqnv7y9",270893,4
"10",9,0.558,0.651,10,-4.081,0,0.113,0.241,0,0.0232,0.705,180.223,"audio_features","6NdwQ9WlP2fOTc2etE0YDK","spotify:track:6NdwQ9WlP2fOTc2etE0YDK","https://api.spotify.com/v1/tracks/6NdwQ9WlP2fOTc2etE0YDK","https://api.spotify.com/v1/audio-analysis/6NdwQ9WlP2fOTc2etE0YDK",272086,4
