"","X","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"1",0,0.563,0.383,2,-7.544,0,0.0322,0.283,2.59e-06,0.127,0.357,173.984,"audio_features","32YHCNItnCdiYaPbw0uTo8","spotify:track:32YHCNItnCdiYaPbw0uTo8","https://api.spotify.com/v1/tracks/32YHCNItnCdiYaPbw0uTo8","https://api.spotify.com/v1/audio-analysis/32YHCNItnCdiYaPbw0uTo8",210520,3
"2",1,0.667,0.342,2,-5.93,0,0.0325,0.397,0,0.0945,0.453,119.882,"audio_features","4I8yHxomfwh2ggSmiPmQyP","spotify:track:4I8yHxomfwh2ggSmiPmQyP","https://api.spotify.com/v1/tracks/4I8yHxomfwh2ggSmiPmQyP","https://api.spotify.com/v1/audio-analysis/4I8yHxomfwh2ggSmiPmQyP",250973,3
"3",2,0.686,0.286,9,-9.603,0,0.0295,0.564,0.209,0.135,0.283,122.983,"audio_features","349eMAQNz3QBhlrdoXMO0C","spotify:track:349eMAQNz3QBhlrdoXMO0C","https://api.spotify.com/v1/tracks/349eMAQNz3QBhlrdoXMO0C","https://api.spotify.com/v1/audio-analysis/349eMAQNz3QBhlrdoXMO0C",308307,3
"4",3,0.386,0.437,9,-7.946,0,0.036,0.184,0,0.169,0.0943,119.923,"audio_features","23zykvOc3kJKObhUMC64EV","spotify:track:23zykvOc3kJKObhUMC64EV","https://api.spotify.com/v1/tracks/23zykvOc3kJKObhUMC64EV","https://api.spotify.com/v1/audio-analysis/23zykvOc3kJKObhUMC64EV",297773,4
"5",4,0.246,0.684,7,-6.887,0,0.11,0.0573,0.00157,0.119,0.288,88.98,"audio_features","38OWHV80YwfFMir6aHYb8B","spotify:track:38OWHV80YwfFMir6aHYb8B","https://api.spotify.com/v1/tracks/38OWHV80YwfFMir6aHYb8B","https://api.spotify.com/v1/audio-analysis/38OWHV80YwfFMir6aHYb8B",226173,3
"6",5,0.765,0.327,6,-8.029,1,0.277,0.571,0.0479,0.0787,0.292,74.931,"audio_features","3VAeTjREoKPY1exOXR4oBm","spotify:track:3VAeTjREoKPY1exOXR4oBm","https://api.spotify.com/v1/tracks/3VAeTjREoKPY1exOXR4oBm","https://api.spotify.com/v1/audio-analysis/3VAeTjREoKPY1exOXR4oBm",129600,4
"7",6,0.548,0.75,7,-2.949,1,0.53,0.184,0,0.422,0.497,192.159,"audio_features","2plFaDNZayLbtA9Ht1yCEo","spotify:track:2plFaDNZayLbtA9Ht1yCEo","https://api.spotify.com/v1/tracks/2plFaDNZayLbtA9Ht1yCEo","https://api.spotify.com/v1/audio-analysis/2plFaDNZayLbtA9Ht1yCEo",167576,4
"8",7,0.503,0.617,2,-6.715,1,0.0278,0.0043,4.87e-06,0.274,0.342,99.866,"audio_features","5pZXqz34TRcpnjioETP4j9","spotify:track:5pZXqz34TRcpnjioETP4j9","https://api.spotify.com/v1/tracks/5pZXqz34TRcpnjioETP4j9","https://api.spotify.com/v1/audio-analysis/5pZXqz34TRcpnjioETP4j9",236572,4
"9",8,0.686,0.718,8,-5.054,0,0.0431,0.00637,0.000703,0.119,0.557,115.026,"audio_features","0b6wdul3A5sQNpIOv03OxP","spotify:track:0b6wdul3A5sQNpIOv03OxP","https://api.spotify.com/v1/tracks/0b6wdul3A5sQNpIOv03OxP","https://api.spotify.com/v1/audio-analysis/0b6wdul3A5sQNpIOv03OxP",206320,4
"10",9,0.483,0.42,0,-9.403,0,0.0272,0.124,0.0163,0.107,0.435,135.175,"audio_features","0ryEyJ994SqdJwGJXyS1SF","spotify:track:0ryEyJ994SqdJwGJXyS1SF","https://api.spotify.com/v1/tracks/0ryEyJ994SqdJwGJXyS1SF","https://api.spotify.com/v1/audio-analysis/0ryEyJ994SqdJwGJXyS1SF",184027,4
"11",10,0.474,0.829,0,-4.033,1,0.0354,0.000169,6.66e-06,0.147,0.557,79.014,"audio_features","5o1yqKzNxiiW78twbkbOcb","spotify:track:5o1yqKzNxiiW78twbkbOcb","https://api.spotify.com/v1/tracks/5o1yqKzNxiiW78twbkbOcb","https://api.spotify.com/v1/audio-analysis/5o1yqKzNxiiW78twbkbOcb",309935,4
"12",11,0.645,0.363,8,-10.335,1,0.153,0.781,0.00188,0.111,0.2,92.063,"audio_features","6PNYeZDld0hRblGBQUOywl","spotify:track:6PNYeZDld0hRblGBQUOywl","https://api.spotify.com/v1/tracks/6PNYeZDld0hRblGBQUOywl","https://api.spotify.com/v1/audio-analysis/6PNYeZDld0hRblGBQUOywl",213969,4
"13",12,0.805,0.582,2,-5.657,0,0.0627,0.0971,0,0.163,0.307,117.955,"audio_features","2FrnTVSHjgnEylKGdHRUK1","spotify:track:2FrnTVSHjgnEylKGdHRUK1","https://api.spotify.com/v1/tracks/2FrnTVSHjgnEylKGdHRUK1","https://api.spotify.com/v1/audio-analysis/2FrnTVSHjgnEylKGdHRUK1",279276,4
"14",13,0.865,0.498,8,-8.882,0,0.168,0.0718,0.00312,0.108,0.131,97.921,"audio_features","7aFBy1CBLGnZE1Iv6TvEZE","spotify:track:7aFBy1CBLGnZE1Iv6TvEZE","https://api.spotify.com/v1/tracks/7aFBy1CBLGnZE1Iv6TvEZE","https://api.spotify.com/v1/audio-analysis/7aFBy1CBLGnZE1Iv6TvEZE",199994,4
"15",14,0.573,0.539,2,-6.091,0,0.0322,0.0162,1.16e-05,0.105,0.39,75.012,"audio_features","5sah9eLuxZlWxKTTCOk8GN","spotify:track:5sah9eLuxZlWxKTTCOk8GN","https://api.spotify.com/v1/tracks/5sah9eLuxZlWxKTTCOk8GN","https://api.spotify.com/v1/audio-analysis/5sah9eLuxZlWxKTTCOk8GN",180691,4
"16",15,0.542,0.905,9,-5.653,1,0.054,0.00172,0.0104,0.136,0.374,153.398,"audio_features","5A1FmxbYVRZKy4nc16MAue","spotify:track:5A1FmxbYVRZKy4nc16MAue","https://api.spotify.com/v1/tracks/5A1FmxbYVRZKy4nc16MAue","https://api.spotify.com/v1/audio-analysis/5A1FmxbYVRZKy4nc16MAue",203347,4
"17",16,0.671,0.772,6,-5.853,1,0.186,0.0917,0,0.118,0.735,89.919,"audio_features","5bIV0X5jTmFPrTNMF4HLmF","spotify:track:5bIV0X5jTmFPrTNMF4HLmF","https://api.spotify.com/v1/tracks/5bIV0X5jTmFPrTNMF4HLmF","https://api.spotify.com/v1/audio-analysis/5bIV0X5jTmFPrTNMF4HLmF",182000,4
"18",17,0.809,0.528,8,-6.886,0,0.12,0.353,5.86e-06,0.0897,0.491,103.923,"audio_features","3QfD4bxxkopZL7XZ8RaezH","spotify:track:3QfD4bxxkopZL7XZ8RaezH","https://api.spotify.com/v1/tracks/3QfD4bxxkopZL7XZ8RaezH","https://api.spotify.com/v1/audio-analysis/3QfD4bxxkopZL7XZ8RaezH",195285,4
"19",18,0.535,0.548,1,-6.51,1,0.037,0.533,1.48e-06,0.123,0.477,115.144,"audio_features","1AM8QdDFZMq6SrrqUnuQ9P","spotify:track:1AM8QdDFZMq6SrrqUnuQ9P","https://api.spotify.com/v1/tracks/1AM8QdDFZMq6SrrqUnuQ9P","https://api.spotify.com/v1/audio-analysis/1AM8QdDFZMq6SrrqUnuQ9P",237333,3
"20",19,0.717,0.577,8,-5.436,1,0.0491,0.708,0.00428,0.0899,0.235,104.927,"audio_features","3aauaXWRgwCMoykMbI0Jq1","spotify:track:3aauaXWRgwCMoykMbI0Jq1","https://api.spotify.com/v1/tracks/3aauaXWRgwCMoykMbI0Jq1","https://api.spotify.com/v1/audio-analysis/3aauaXWRgwCMoykMbI0Jq1",185520,3
"21",20,0.688,0.349,6,-7.182,0,0.27,0.241,0.685,0.374,0.433,169.773,"audio_features","7tZdkPtebOG29TzPPHlsem","spotify:track:7tZdkPtebOG29TzPPHlsem","https://api.spotify.com/v1/tracks/7tZdkPtebOG29TzPPHlsem","https://api.spotify.com/v1/audio-analysis/7tZdkPtebOG29TzPPHlsem",144000,4
"22",21,0.532,0.178,9,-9.754,0,0.0541,0.614,0.14,0.0985,0.103,149.879,"audio_features","6MiVIH3fQlmz44jGx2DXn4","spotify:track:6MiVIH3fQlmz44jGx2DXn4","https://api.spotify.com/v1/tracks/6MiVIH3fQlmz44jGx2DXn4","https://api.spotify.com/v1/audio-analysis/6MiVIH3fQlmz44jGx2DXn4",181467,3
"23",22,0.825,0.304,5,-11.597,1,0.101,0.14,0.000498,0.147,0.3,84.927,"audio_features","6gGBL1uMBcNUOzSYfKreID","spotify:track:6gGBL1uMBcNUOzSYfKreID","https://api.spotify.com/v1/tracks/6gGBL1uMBcNUOzSYfKreID","https://api.spotify.com/v1/audio-analysis/6gGBL1uMBcNUOzSYfKreID",140973,4
"24",23,0.692,0.69,0,-6.152,0,0.055,0.035,0,0.068,0.362,143.965,"audio_features","2Kp74xf5Ot0csi3n3kXwBr","spotify:track:2Kp74xf5Ot0csi3n3kXwBr","https://api.spotify.com/v1/tracks/2Kp74xf5Ot0csi3n3kXwBr","https://api.spotify.com/v1/audio-analysis/2Kp74xf5Ot0csi3n3kXwBr",226360,3
"25",24,0.906,0.474,1,-4.704,1,0.0515,0.0658,6.52e-06,0.0681,0.204,124.979,"audio_features","6ah7L6ijOMMlOabQzuJGUB","spotify:track:6ah7L6ijOMMlOabQzuJGUB","https://api.spotify.com/v1/tracks/6ah7L6ijOMMlOabQzuJGUB","https://api.spotify.com/v1/audio-analysis/6ah7L6ijOMMlOabQzuJGUB",205800,4
"26",25,0.769,0.632,10,-4.228,0,0.0537,0.0325,0,0.116,0.294,131.932,"audio_features","4cg1yakyRSIOjxKM2I7J1q","spotify:track:4cg1yakyRSIOjxKM2I7J1q","https://api.spotify.com/v1/tracks/4cg1yakyRSIOjxKM2I7J1q","https://api.spotify.com/v1/audio-analysis/4cg1yakyRSIOjxKM2I7J1q",176387,4
"27",26,0.841,0.728,7,-3.37,1,0.0484,0.0847,0,0.149,0.43,130.049,"audio_features","6gBFPUFcJLzWGx4lenP6h2","spotify:track:6gBFPUFcJLzWGx4lenP6h2","https://api.spotify.com/v1/tracks/6gBFPUFcJLzWGx4lenP6h2","https://api.spotify.com/v1/audio-analysis/6gBFPUFcJLzWGx4lenP6h2",243837,4
